Target_Resistance_Ohms,Measured_Resistance_Mean_Ohms,Measured_Resistance_StdDev_Ohms,Knob_Settings_Applied,Individual_Readings
44.0,44.143844985,3.0750000021839696e-06,1 Ohm Decade:E16.00,"44.1438, 44.1438"
45.0,45.146099375,1.275500000019747e-05,1 Ohm Decade:E20.00,"45.1461, 45.1461"
46.0,46.145879405,2.4905000000075006e-05,1 Ohm Decade:E24.00,"46.1459, 46.1459"
47.0,47.143441765,6.923499999800242e-05,1 Ohm Decade:E28.00,"47.1434, 47.1435"
48.0,48.143426195,3.795499999981189e-05,1 Ohm Decade:E32.00,"48.1435, 48.1434"
49.0,49.15191512,6.218000000046686e-05,1 Ohm Decade:E36.00,"49.1520, 49.1519"
50.0,50.151234665000004,6.375500000288525e-05,"10 Ohm Decade:E20.00, 1 Ohm Decade:E0.00","50.1512, 50.1513"
51.0,51.153175735,0.00018227500000023156,1 Ohm Decade:E4.00,"51.1530, 51.1534"
52.0,52.150955769999996,1.3429999999203801e-05,1 Ohm Decade:E8.00,"52.1509, 52.1510"
53.0,53.15101251,6.136000000012132e-05,1 Ohm Decade:E12.00,"53.1511, 53.1510"
54.0,54.15130254,4.178000000010229e-05,1 Ohm Decade:E16.00,"54.1513, 54.1513"
55.0,55.153025400000004,7.951000000261388e-05,1 Ohm Decade:E20.00,"55.1529, 55.1531"
